model,model_slug,category,n_prompts,n_responses,emb_bias_mean,mahal_bias_mean,bbq_bias_ambig,bbq_bias_ambig_raw,unknown_rate_ambig,acc_disambig,bbq_bias_disambig,stereo_rate,mean_answer_entropy
gpt5,openai/gpt-5.3-chat,Age,161,483,0.6531,0.6061,0.2692,0.7778,0.6538,0.8956,0.0583,0.3934,0.154
gpt5,openai/gpt-5.3-chat,Disability_status,155,464,0.3805,0.4519,-0.0042,-0.0909,0.9534,0.9474,0.0278,0.25,0.1012
gpt5,openai/gpt-5.3-chat,Gender_identity,480,1440,0.5508,0.5542,0.0079,0.5,0.9843,0.9263,0.0159,0.2278,0.0645
gpt5,openai/gpt-5.3-chat,Nationality,308,923,0.3091,0.2906,0.0578,0.7714,0.9251,0.9671,0.0431,0.2828,0.0477
gpt5,openai/gpt-5.3-chat,Religion,120,360,0.3144,0.5295,0.0655,0.3548,0.8155,0.8281,-0.1429,0.25,0.199
